brand,series,shade,productType,productTypeLabel,colorLine,colorTechnology,shadeSystem,level,levelName,reflectCode,meaning,developerPercent,developerVolume,colorFamily,confidence,grams,rows,customers
L'OREAL PROFESSIONNEL,MAJIREL,7.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,1,Blonde with Ash / blue reflect,,,Brown / dark blonde,high,4188,141,3
L'OREAL PROFESSIONNEL,MAJIREL,6.23,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,23,Dark blonde with Iridescent / violet + Gold reflect,,,Brown / dark blonde,high,4162.5,219,2
L'OREAL PROFESSIONNEL,DIA RICHESSE,6,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,6,Dark blonde,0,Dark blonde natural shade,,,Brown / dark blonde,high,4032.5,125,5
L'OREAL PROFESSIONNEL,DIA LIGHT,6.8,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,8,Dark blonde with Mocha reflect,,,Brown / dark blonde,high,4023,137,3
L'OREAL PROFESSIONNEL,COOL COVER,CC5.18,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,18,Light brown with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,4022,176,4
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,Ash +,mixer_corrector,Mixer / corrector / clear,L'Oréal Majirel,Permanent oxidative color,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,3792,100,4
L'OREAL PROFESSIONNEL,NEW INOA,5.62,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,62,Light brown with Red + Iridescent / violet reflect,,,Brown / dark blonde,high,3663.5,122,2
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,8,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,3656,57,1
L'OREAL PROFESSIONNEL,DIA LIGHT,9.11,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,11,Very light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,3597.5,217,4
L'OREAL PROFESSIONNEL,DIA COLOR,7.1,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,1,Blonde with Ash / blue reflect,,,Brown / dark blonde,high,3591.5,128,4
L'OREAL PROFESSIONNEL,NEW INOA,6.45,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,6,Dark blonde,45,Dark blonde with Copper + Mahogany / red-violet reflect,,,Brown / dark blonde,high,3574.5,127,1
TO DEL.,L'OREAL PROFESSIONNEL,"HR7,11",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,11,Blonde with Ash / blue + Ash / blue reflect,,,Brown / dark blonde,high,3500,118,3
L'OREAL PROFESSIONNEL,DIA LIGHT,9.3,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,3,Very light blonde with Gold reflect,,,Blonde,high,3448.5,127,4
SUBTIL,/BLOND,7 TONS,lightener_bleach,Lightener / bleach,/BLOND,Unknown / supporting product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,3435.5,50,1
L'OREAL PROFESSIONNEL,MAJIREL,4,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,4,Brown,0,Brown natural shade,,,Dark brown / black,high,3419,90,3
L'OREAL PROFESSIONNEL,COOL COVER,CC8,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,3372,98,3
TO DEL.,L'OREAL PROFESSIONNEL,"8,0",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,3321.5,73,1
L'OREAL PROFESSIONNEL,NEW INOA,7.44,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,44,Blonde with Copper + Copper reflect,,,Brown / dark blonde,high,3223,136,3
L'OREAL PROFESSIONNEL,DIA LIGHT,5,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,3222,113,5
L'OREAL PROFESSIONNEL,NEW INOA,7.43,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,43,Blonde with Copper + Gold reflect,,,Brown / dark blonde,high,3213,127,4
TO DEL.,L'OREAL PROFESSIONNEL,7,hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,3201,102,3
L'OREAL PROFESSIONNEL,NEW INOA,10,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,10,Lightest blonde,0,Lightest blonde natural shade,,,Blonde,high,3081.5,83,4
L'OREAL PROFESSIONNEL,MAJIREL,10,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,10,Lightest blonde,0,Lightest blonde natural shade,,,Blonde,high,3043.5,94,4
L'OREAL PROFESSIONNEL,NEW INOA,8.0,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,0,Light blonde natural shade,,,Blonde,high,2915.5,72,1
L'OREAL PROFESSIONNEL,DIA LIGHT,8.11,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,11,Light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,2897,85,4
HY LOREN,ORGANIC,NATUR HAIR,treatment_care,Treatment / care product,ORGANIC,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,2832.5,42,1
L'OREAL PROFESSIONNEL,COOL COVER,CC5,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,2832,85,2
PH,ORGANIC,NORMAL HAIR,treatment_care,Treatment / care product,ORGANIC,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,2804.5,20,1
L'OREAL PROFESSIONNEL,DIA LIGHT,8.18,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,18,Light blonde with Ash / blue + Mocha reflect,,,Blonde,high,2742.5,98,5
L'OREAL PROFESSIONNEL,MAJIREL,5.15,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,15,Light brown with Ash / blue + Mahogany / red-violet reflect,,,Brown / dark blonde,high,2717,100,2
L'OREAL PROFESSIONNEL,MAJIREL,6.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,2699,93,4
HY LOREN,ORGANIC,COLORD HAIR,treatment_care,Treatment / care product,ORGANIC,Unknown / supporting product,,,,,"Care, treatment, smoothing, repair, or support product rather than a hair color shade",,,,high,2694,31,1
L'OREAL PROFESSIONNEL,NEW INOA,5.18,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,18,Light brown with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,2684.5,66,3
L'OREAL PROFESSIONNEL,MAJIREL,8.31,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,31,Light blonde with Gold + Ash / blue reflect,,,Blonde,high,2553.5,108,2
L'OREAL PROFESSIONNEL,NEW INOA,5.15,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,15,Light brown with Ash / blue + Mahogany / red-violet reflect,,,Brown / dark blonde,high,2548,89,3
SCHWARZKOPF,IGORA ROYAL,9-00,hair_color_shade,Hair color shade,Schwarzkopf Professional,Professional color / lightener family,Schwarzkopf / IGORA,9,Very light blonde,00,Very light blonde with Natural + Natural reflect,,,Blonde,high,2546.5,74,1
L'OREAL PROFESSIONNEL,DIA LIGHT 60g,9.13,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,13,Very light blonde with Ash / blue + Gold reflect,,,Blonde,high,2510,62,5
L'OREAL PROFESSIONNEL,DIA LIGHT,7.3,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,3,Blonde with Gold reflect,,,Brown / dark blonde,high,2501,105,4
L'OREAL PROFESSIONNEL,NEW INOA,"9,11",hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,9,Very light blonde,11,Very light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,2496.5,97,4
L'OREAL PROFESSIONNEL,NEW INOA,8.1,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,1,Light blonde with Ash / blue reflect,,,Blonde,high,2494.5,64,3
SCHWARZKOPF,VARIO BLOND LIGHTENERS,SUPER PLUS,lightener_bleach,Lightener / bleach,Schwarzkopf Professional,Professional color / lightener family,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,2478.5,63,1
TO DEL.,L'OREAL PROFESSIONNEL,"7,8",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,8,Blonde with Mocha reflect,,,Brown / dark blonde,high,2462,72,2
L'OREAL PROFESSIONNEL,NEW INOA,7.35,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,35,Blonde with Gold + Mahogany / red-violet reflect,,,Brown / dark blonde,high,2432,78,1
L'OREAL PROFESSIONNEL,NEW INOA,9.13,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,9,Very light blonde,13,Very light blonde with Ash / blue + Gold reflect,,,Blonde,high,2415.5,73,3
L'OREAL PROFESSIONNEL,DIA COLOR,4,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,4,Brown,0,Brown natural shade,,,Dark brown / black,high,2404.5,54,5
L'OREAL PROFESSIONNEL,DIA LIGHT,7.01,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,01,Blonde with Natural + Ash / blue reflect,,,Brown / dark blonde,high,2404,111,3
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,6.17 CC,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,17,Dark blonde with Ash / blue + Green / matte reflect,,,Brown / dark blonde,high,2392.5,137,4
L'OREAL PROFESSIONNEL,NEW INOA,4.0 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,4,Brown,0,Brown natural shade,,,Dark brown / black,high,2389,52,2
L'OREAL PROFESSIONNEL,DIA LIGHT,8.21,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,21,Light blonde with Iridescent / violet + Ash / blue reflect,,,Blonde,high,2378,76,4
L'OREAL PROFESSIONNEL,MAJIREL,7.31,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,31,Blonde with Gold + Ash / blue reflect,,,Brown / dark blonde,high,2369.5,114,4
L'OREAL PROFESSIONNEL,DIA LIGHT,8.3,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,3,Light blonde with Gold reflect,,,Blonde,high,2363,84,4
L'OREAL PROFESSIONNEL,DIA LIGHT 60g,10.13,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,2341.5,50,3
L'OREAL PROFESSIONNEL,MAJIREL,1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,1,Black,0,Black natural shade,,,Dark brown / black,high,2311.5,78,3
L'OREAL PROFESSIONNEL,COOL COVER,CC6.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,2287,66,4
L'OREAL PROFESSIONNEL,MAJIREL,CI8.13,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,13,Light blonde with Ash / blue + Gold reflect,,,Blonde,high,2244.5,65,3
L'OREAL PROFESSIONNEL,MAJIREL,4.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,4,Brown,0,Brown natural shade,,,Dark brown / black,high,2227,87,2
L'OREAL PROFESSIONNEL,MAJIREL,CI6.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,2217,76,3
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,9.03,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,03,Very light blonde with Natural + Gold reflect,,,Blonde,high,2209,47,3
SCHWARZKOPF,IGORA ROYAL,12-1,hair_color_shade,Hair color shade,Schwarzkopf Professional,Professional color / lightener family,Schwarzkopf / IGORA,12,High-lift blonde,1,High-lift blonde with Cendre reflect,,,Blonde,high,2191.5,53,2
SCHWARZKOPF,IGORA ROYAL,12-2,hair_color_shade,Hair color shade,Schwarzkopf Professional,Professional color / lightener family,Schwarzkopf / IGORA,12,High-lift blonde,2,High-lift blonde with Ash reflect,,,Blonde,high,2175,48,2
TO DEL.,L'OREAL PROFESSIONNEL,"5,0",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,2171,61,2
L'OREAL PROFESSIONNEL,NEW INOA,7.13,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,7,Blonde,13,Blonde with Ash / blue + Gold reflect,,,Brown / dark blonde,high,2165,75,4
L'OREAL PROFESSIONNEL,DIA RICHESSE,5.01,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,5,Light brown,01,Light brown with Natural + Ash / blue reflect,,,Brown / dark blonde,high,2138,71,5
L'OREAL PROFESSIONNEL,MAJIREL,7.23,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,23,Blonde with Iridescent / violet + Gold reflect,,,Brown / dark blonde,high,2090,119,2
L'OREAL PROFESSIONNEL,DIA LIGHT,6.3,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,3,Dark blonde with Gold reflect,,,Brown / dark blonde,high,2089,84,2
L'OREAL PROFESSIONNEL,DIA COLOR,3,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,3,Dark brown,0,Dark brown natural shade,,,Dark brown / black,high,2056,43,4
L'OREAL PROFESSIONNEL,DIA LIGHT,7,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,2055,106,4
AFRODITA,DEVELOPERS,3%   10 Vol.,developer_oxidant,Developer / oxidant / cream peroxide,DEVELOPERS,Unknown / supporting product,,,,,Oxidant / developer used to activate color or lightener,3,10,,high,2048.5,41,1
L'OREAL PROFESSIONNEL,COOL COVER,CC5.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,1,Light brown with Ash / blue reflect,,,Brown / dark blonde,high,1999,72,1
L'OREAL PROFESSIONNEL,DIA LIGHT,6.1,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,1,Dark blonde with Ash / blue reflect,,,Brown / dark blonde,high,1996.5,121,3
L'OREAL PROFESSIONNEL,DIA LIGHT,9.18,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,18,Very light blonde with Ash / blue + Mocha reflect,,,Blonde,high,1992,63,5
L'OREAL PROFESSIONNEL,DIA LIGHT,6.13,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,6,Dark blonde,13,Dark blonde with Ash / blue + Gold reflect,,,Brown / dark blonde,high,1929,54,5
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,5,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,1914,57,3
L'OREAL PROFESSIONNEL,NEW INOA,8.34,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,8,Light blonde,34,Light blonde with Gold + Copper reflect,,,Blonde,high,1881,99,1
L'OREAL PROFESSIONNEL,MAJIREL,8.13,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,13,Light blonde with Ash / blue + Gold reflect,,,Blonde,high,1880,52,1
L'OREAL PROFESSIONNEL,NEW INOA,9,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,9,Very light blonde,0,Very light blonde natural shade,,,Blonde,high,1858.5,63,3
L'OREAL PROFESSIONNEL,DIA COLOR,7.8,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,8,Blonde with Mocha reflect,,,Brown / dark blonde,high,1844.5,47,2
L'OREAL PROFESSIONNEL,MAJIREL,9,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,0,Very light blonde natural shade,,,Blonde,high,1815,37,1
L'OREAL PROFESSIONNEL,NEW INOA,3,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,3,Dark brown,0,Dark brown natural shade,,,Dark brown / black,high,1800,37,3
L'OREAL PROFESSIONNEL,MAJIREL,5.1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,5,Light brown,1,Light brown with Ash / blue reflect,,,Brown / dark blonde,high,1783.5,52,3
TO DEL.,L'OREAL PROFESSIONNEL,"8,11",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,8,Light blonde,11,Light blonde with Ash / blue + Ash / blue reflect,,,Blonde,high,1765.5,58,2
L'OREAL PROFESSIONNEL,NEW INOA,9.31 F,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,9,Very light blonde,31,Very light blonde with Gold + Ash / blue reflect,,,Blonde,high,1705,54,1
L'OREAL PROFESSIONNEL,BLOND STUDIO BLEACH,9,lightener_bleach,Lightener / bleach,Lightener / bleach,Lightening product,,,,,"Lightening product used for blonding, highlights, balayage, or decolorizing",,,,high,1694,30,3
L'OREAL PROFESSIONNEL,DIA LIGHT,9.03,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,03,Very light blonde with Natural + Gold reflect,,,Blonde,high,1690,60,5
TO DEL.,L'OREAL PROFESSIONNEL,"7,18",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNEL,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,18,Blonde with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,1683.5,57,1
L'OREAL PROFESSIONNEL,DIA LIGHT,7.23,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,23,Blonde with Iridescent / violet + Gold reflect,,,Brown / dark blonde,high,1673.5,84,5
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,7CC,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,1662.5,44,3
L'OREAL PROFESSIONNEL,DIA LIGHT,9.82,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,9,Very light blonde,82,Very light blonde with Mocha + Iridescent / violet reflect,,,Blonde,high,1658,67,3
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,1,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,1,Black,0,Black natural shade,,,Dark brown / black,high,1654.5,44,1
TO DEL.,L'OREAL PROFESSIONNELS,"7,18",hair_color_shade,Hair color shade,L'OREAL PROFESSIONNELS,Unknown / supporting product,L'Oréal / international dot system,7,Blonde,18,Blonde with Ash / blue + Mocha reflect,,,Brown / dark blonde,high,1653.5,57,1
L'OREAL PROFESSIONNEL,MAJIREL,7.44,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,44,Blonde with Copper + Copper reflect,,,Brown / dark blonde,high,1647,52,1
L'OREAL PROFESSIONNEL,DIA RICHESSE,7,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,1625,54,5
L'OREAL PROFESSIONNEL,DIA LIGHT,8.23,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,8,Light blonde,23,Light blonde with Iridescent / violet + Gold reflect,,,Blonde,high,1618.5,52,3
L'OREAL PROFESSIONNEL,DIA LIGHT 60g,10.12,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,1609,43,3
L'OREAL PROFESSIONNEL,DIA LIGHT,7.43,hair_color_shade,Hair color shade,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,L'Oréal / international dot system,7,Blonde,43,Blonde with Copper + Gold reflect,,,Brown / dark blonde,high,1607.5,58,4
L'OREAL PROFESSIONNEL,NEW INOA,5.17,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,17,Light brown with Ash / blue + Green / matte reflect,,,Brown / dark blonde,high,1572,37,1
L'OREAL PROFESSIONNEL,DIA RICHESSE,5,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,5,Light brown,0,Light brown natural shade,,,Brown / dark blonde,high,1569,48,4
L'OREAL PROFESSIONNEL,OXYDANT DEVELOPERS,"3,75%   12,5 Vol.",developer_oxidant,Developer / oxidant / cream peroxide,OXYDANT DEVELOPERS,Unknown / supporting product,,,,,Oxidant / developer used to activate color or lightener,75,75,,high,1562,12,4
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,7,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,1547,48,2
L'OREAL PROFESSIONNEL,MAJIREL,MM VERT (GREEN),mixer_corrector,Mixer / corrector / clear,L'Oréal Majirel,Permanent oxidative color,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,1533,347,2
L'OREAL PROFESSIONNEL,DIA COLOR,7.44,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,44,Blonde with Copper + Copper reflect,,,Brown / dark blonde,high,1528,46,3
L'OREAL PROFESSIONNEL,DIA RICHESSE,6.13,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,6,Dark blonde,13,Dark blonde with Ash / blue + Gold reflect,,,Brown / dark blonde,high,1516,44,3
L'OREAL PROFESSIONNEL,DIA COLOR,7.32,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,7,Blonde,32,Blonde with Gold + Iridescent / violet reflect,,,Brown / dark blonde,high,1495,42,1
L'OREAL PROFESSIONNEL,MAJIREL,8.3,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,8,Light blonde,3,Light blonde with Gold reflect,,,Blonde,high,1489.5,55,3
L'OREAL PROFESSIONNEL,MAJIREL FUNDA,7.0,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,7,Blonde,0,Blonde natural shade,,,Brown / dark blonde,high,1488.5,48,4
L'OREAL PROFESSIONNEL,MAJIREL,9.3,hair_color_shade,Hair color shade,L'Oréal Majirel,Permanent oxidative color,L'Oréal / international dot system,9,Very light blonde,3,Very light blonde with Gold reflect,,,Blonde,high,1466,88,1
L'OREAL PROFESSIONNEL,DIA RICHESSE,8.31,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,8,Light blonde,31,Light blonde with Gold + Ash / blue reflect,,,Blonde,high,1453.5,45,2
L'OREAL PROFESSIONNEL,DIA RICHESSE,5.15,hair_color_shade,Hair color shade,L'Oréal Dia Color / Dia Richesse,Demi-permanent alkaline color,L'Oréal / international dot system,5,Light brown,15,Light brown with Ash / blue + Mahogany / red-violet reflect,,,Brown / dark blonde,high,1449,42,3
L'OREAL PROFESSIONNEL,MAJIREL,10.1,mixer_corrector,Mixer / corrector / clear,L'Oréal Majirel,Permanent oxidative color,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,1446,53,3
L'OREAL PROFESSIONNEL,DIA LIGHT,10.18,mixer_corrector,Mixer / corrector / clear,L'Oréal Dia Light,Demi-permanent acidic gloss / toner,,,,,"Direct tone, corrective additive, clear, or mixer used to adjust a formula",,,,medium,1433.5,45,5
L'OREAL PROFESSIONNEL,NEW INOA,5.8,hair_color_shade,Hair color shade,L'Oréal INOA,Permanent oil-based color,L'Oréal / international dot system,5,Light brown,8,Light brown with Mocha reflect,,,Brown / dark blonde,high,1432,44,1
